Hours_Studied,Current_CGPA,Extracurricular_Activities,Sleep_Hours,Attendance_Percentage,Solved_Past_Papers,Project_Participation,Final_Label
6.2,9.36,0,8.8,90.68,5.45,0,Average Performer
3.4,6.04,1,7.7,50.7,5.45,0,Needs Improvement
4.8,8.61,0,6.0,82.57,6.82,0,Average Performer
2.9,6.14,1,9.0,83.47,5.45,0,Needs Improvement
12.4,7.96,1,5.3,89.98,5.45,0,Average Performer
6.6,5.5,0,6.4,96.69,6.82,1,Needs Improvement
4.4,6.57,0,6.7,51.0,9.55,0,Average Performer
7.1,6.89,0,7.9,57.72,8.18,0,Average Performer
6.2,6.04,1,8.7,94.39,8.18,1,Average Performer
5.8,8.61,0,8.6,72.95,10.91,0,Average Performer
8.3,8.18,0,7.3,78.26,6.82,0,High Performer
8.8,9.14,0,6.6,83.27,2.73,0,Average Performer
4.9,6.46,0,4.3,84.07,5.45,0,Average Performer
4.8,7.54,0,5.0,96.69,8.18,1,Average Performer
5.7,6.25,0,9.0,99.9,4.09,1,Average Performer
1.0,7.11,0,4.2,86.07,4.09,0,Needs Improvement
2.0,9.36,0,5.8,64.43,6.82,1,Needs Improvement
10.6,8.61,0,8.7,94.09,6.82,1,High Performer
11.4,6.36,0,7.3,52.51,8.18,0,Average Performer
5.8,5.71,0,8.4,61.62,2.73,0,Needs Improvement
8.2,5.71,1,7.8,94.99,8.18,0,Needs Improvement
7.4,8.82,1,9.0,62.83,5.45,0,Average Performer
15.0,6.89,0,7.4,61.02,4.09,1,Average Performer
9.9,9.89,0,8.0,56.91,5.45,1,Average Performer
6.1,8.39,0,5.9,93.09,2.73,0,Average Performer
3.6,6.89,1,7.9,75.05,8.18,0,Needs Improvement
1.7,6.36,0,6.4,83.77,10.91,1,Needs Improvement
7.1,8.93,1,6.3,62.02,6.82,0,Average Performer
4.2,7.0,0,8.3,87.98,8.18,1,Average Performer
2.2,8.82,0,8.4,88.08,6.82,0,Needs Improvement
4.6,7.75,0,9.0,65.63,6.82,1,Average Performer
3.3,7.96,0,9.0,70.54,8.18,1,Needs Improvement
11.6,8.93,0,8.4,60.52,5.45,1,Average Performer
9.1,6.25,0,4.4,98.9,5.45,0,Average Performer
6.5,8.61,1,9.0,82.36,6.82,0,Average Performer
10.9,7.54,0,8.4,96.79,6.82,0,Average Performer
6.7,8.71,0,5.9,65.23,5.45,0,Average Performer
3.9,8.82,0,8.1,89.18,5.45,0,Needs Improvement
11.1,6.68,1,5.4,88.38,9.55,1,Average Performer
8.1,8.39,0,7.9,84.67,6.82,0,High Performer
3.4,6.57,1,5.0,98.4,5.45,0,Needs Improvement
5.9,7.54,0,5.8,69.74,4.09,0,Average Performer
3.9,7.96,0,8.1,56.51,12.27,1,Needs Improvement
2.4,8.61,0,8.6,83.67,8.18,0,Needs Improvement
